,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep1_M50,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep2_M51,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep3_M52,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep4_M53,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep5_M54,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep6_M55,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep1_M62,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep2_M63,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep3_M64,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep4_M65,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep5_M66,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep6_M67
ENSMUSG00000000001,276,277,295,267,292,325,220,229,263,249,395,351
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,9,17,11,13,8,13,14,6,17,10,8,17
ENSMUSG00000000031,19,4,24,2,1,8,8,3,8,7,2,6
ENSMUSG00000000037,15,12,15,7,18,11,13,9,10,12,16,15
ENSMUSG00000000049,0,0,5,1,1,3,0,0,2,0,2,0
ENSMUSG00000000056,476,411,518,489,539,586,385,389,425,459,589,717
ENSMUSG00000000058,513,516,594,445,516,636,393,368,386,429,770,667
ENSMUSG00000000078,816,643,591,576,655,850,438,370,564,480,762,814
ENSMUSG00000000085,576,438,456,545,526,634,398,465,423,460,638,530
ENSMUSG00000000088,943,1035,1258,984,1226,850,1046,983,1053,1238,1278,1167
ENSMUSG00000000093,18,11,22,9,25,12,14,24,19,18,23,27
ENSMUSG00000000094,0,4,1,2,0,1,1,1,3,0,3,5
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,42,19,85,33,41,54,36,284,59,29,36,74
ENSMUSG00000000125,12,14,81,38,116,12,93,22,120,104,27,48
ENSMUSG00000000126,127,157,42,148,110,139,69,9,71,73,124,70
ENSMUSG00000000127,397,373,476,380,461,363,341,415,388,399,504,443
ENSMUSG00000000131,1189,971,919,830,949,1109,756,716,660,736,1106,1061
ENSMUSG00000000134,512,473,482,409,443,508,327,342,360,359,496,525
ENSMUSG00000000142,471,423,415,418,606,460,335,349,450,474,643,522
ENSMUSG00000000148,162,134,113,118,116,122,85,71,122,98,111,144
ENSMUSG00000000149,771,887,1167,1202,1179,794,1026,852,1152,1070,1179,1386
ENSMUSG00000000154,6,9,6,7,9,4,0,7,2,7,4,10
ENSMUSG00000000157,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000000159,2,2,6,0,3,0,5,6,2,2,7,5
ENSMUSG00000000167,6,8,4,10,11,14,9,7,15,7,9,9
ENSMUSG00000000168,973,871,951,797,952,1088,644,632,715,745,868,1260
ENSMUSG00000000171,513,504,702,572,630,522,582,613,636,620,714,601
ENSMUSG00000000182,3,1,1,0,1,2,2,1,2,3,7,1
ENSMUSG00000000183,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000000184,1157,964,907,1061,678,1240,629,521,257,557,1081,1017
ENSMUSG00000000194,521,428,426,365,447,502,349,277,401,345,481,547
ENSMUSG00000000197,2416,1793,2174,1310,1882,2120,1313,1787,1885,1603,1860,2478
ENSMUSG00000000202,124,137,159,149,230,120,225,144,208,225,196,150
ENSMUSG00000000204,1,0,3,1,0,0,0,0,0,0,0,0
ENSMUSG00000000214,4,11,530,4,88,3,44,51,479,7,9,318
ENSMUSG00000000215,2,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,2,1,1,3,3,2,1,2,0,1,0,4
ENSMUSG00000000223,1031,857,735,852,788,965,588,567,574,560,1040,916
ENSMUSG00000000244,1,0,1,1,1,0,2,0,5,2,5,4
ENSMUSG00000000247,1684,1008,935,946,879,1494,607,449,136,671,1427,1130
ENSMUSG00000000248,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000000253,282,264,281,261,287,294,179,234,201,246,319,410
ENSMUSG00000000263,16,22,342,7,203,8,80,83,445,207,65,247
ENSMUSG00000000266,542,428,502,349,554,608,423,547,579,492,482,690
ENSMUSG00000000275,87,114,146,102,133,103,106,91,139,93,110,136
ENSMUSG00000000276,1124,959,804,688,811,1129,588,504,530,556,892,1024
ENSMUSG00000000278,142,172,242,130,150,164,97,127,172,140,178,203
ENSMUSG00000000282,1059,700,691,731,872,1015,483,472,478,635,1015,999
ENSMUSG00000000290,54,37,48,55,31,41,41,43,42,29,49,56
ENSMUSG00000000295,66,59,90,70,87,53,74,97,95,103,69,86
ENSMUSG00000000296,295,217,251,172,237,267,251,213,202,285,257,247
ENSMUSG00000000301,7,16,24,19,15,14,19,13,21,22,20,10
ENSMUSG00000000303,72,53,95,14,9,40,38,24,10,7,20,90
ENSMUSG00000000305,962,570,425,158,302,373,334,469,357,258,257,316
ENSMUSG00000000308,1977,1464,1675,1129,1826,1797,1029,903,1326,1400,1471,2223
ENSMUSG00000000317,10,10,40,38,47,37,15,16,20,17,40,12
ENSMUSG00000000318,6,1,8,3,5,5,2,4,1,5,1,5
ENSMUSG00000000320,14,15,17,8,4,6,17,4,9,9,6,11
ENSMUSG00000000325,364,304,262,251,304,329,213,178,264,248,279,322
ENSMUSG00000000326,707,717,678,704,718,758,577,581,484,642,841,817
ENSMUSG00000000339,440,351,416,380,364,383,320,309,315,325,393,467
ENSMUSG00000000340,239,211,299,285,244,253,231,273,224,250,369,316
ENSMUSG00000000346,1221,1205,1580,1337,1404,1250,1175,1163,1133,1354,1827,1606
ENSMUSG00000000355,125,139,156,166,166,137,124,127,126,161,196,159
ENSMUSG00000000359,6,5,2,6,2,4,5,3,2,8,3,0
ENSMUSG00000000365,12,7,14,5,14,5,13,13,7,6,9,8
ENSMUSG00000000374,1352,1038,1074,1030,1131,1207,946,798,861,942,1195,1396
ENSMUSG00000000378,298,245,255,244,278,296,367,346,226,255,255,340
ENSMUSG00000000381,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000000384,224,198,205,187,229,199,146,125,149,172,222,273
ENSMUSG00000000385,1,0,2,1,0,0,0,0,0,0,1,0
ENSMUSG00000000386,2,3,3,1,0,0,4,0,0,3,4,5
ENSMUSG00000000392,3,26,9,18,16,12,7,7,1,7,21,5
ENSMUSG00000000394,0,0,0,0,0,0,0,1,0,0,1,0
ENSMUSG00000000399,616,592,702,565,653,616,453,559,560,618,643,827
ENSMUSG00000000402,56,24,73,28,61,36,40,45,81,43,63,63
ENSMUSG00000000409,6,3,19,7,9,7,2,9,3,4,3,7
ENSMUSG00000000411,0,0,0,0,0,0,1,0,1,0,1,0
ENSMUSG00000000416,1495,1131,1154,1274,1446,1549,1013,875,581,1090,1793,1586
ENSMUSG00000000420,569,555,751,620,702,603,552,607,733,597,804,763
ENSMUSG00000000435,0,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000000439,401,321,316,254,307,324,237,261,267,305,347,386
ENSMUSG00000000440,21,20,19,26,33,27,23,18,9,29,53,33
ENSMUSG00000000441,505,459,454,462,517,430,338,362,427,444,522,575
ENSMUSG00000000486,6,7,38,16,25,17,29,18,22,22,27,17
ENSMUSG00000000489,142,135,126,136,163,191,99,65,72,89,196,185
ENSMUSG00000000530,112,128,168,118,121,120,132,128,100,103,147,150
ENSMUSG00000000531,948,645,440,551,542,832,350,322,46,284,752,528
ENSMUSG00000000532,1354,1123,704,765,837,1248,576,578,501,608,959,1187
ENSMUSG00000000538,3870,3316,2976,3062,3139,3549,2355,2041,2467,2730,3678,3876
ENSMUSG00000000544,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000552,986,870,1163,901,1302,1023,1013,754,1156,1160,1127,1495
ENSMUSG00000000555,26,40,53,27,21,30,59,60,18,13,56,32
ENSMUSG00000000560,5000,3325,4143,2102,2077,3796,1815,2416,1346,1872,2794,3665
ENSMUSG00000000561,384,345,320,269,316,396,223,259,305,291,362,457
ENSMUSG00000000562,9,14,20,14,9,7,9,4,9,4,17,12
ENSMUSG00000000563,1921,1979,2771,2229,2583,1932,2099,2012,2049,2453,2987,2456
ENSMUSG00000000567,1331,942,1393,1098,1094,1169,1029,871,1108,1075,1353,1185
ENSMUSG00000000568,3261,2278,2355,2240,2659,3142,1662,1880,1981,2198,2697,3097
ENSMUSG00000000579,0,39,21,25,19,2,14,38,44,5,8,14
ENSMUSG00000000581,223,173,283,177,226,218,234,292,244,282,314,240
ENSMUSG00000000594,817,771,1083,829,951,680,797,816,929,951,938,966
ENSMUSG00000000600,496,485,548,391,583,528,457,463,468,511,748,582
ENSMUSG00000000605,2151,1853,1891,1823,2136,2192,1579,1193,1352,1641,2252,2246
ENSMUSG00000000606,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000617,0,0,0,0,1,0,0,0,0,1,1,0
ENSMUSG00000000627,468,365,239,277,270,379,170,171,174,210,263,356
ENSMUSG00000000628,74,56,109,73,67,83,48,61,72,73,64,81
ENSMUSG00000000631,3404,2783,2469,2652,2621,2948,2046,1776,1786,2282,3307,3208
ENSMUSG00000000632,5778,3258,2534,1740,2504,4355,2013,2977,1346,1787,2566,3652
ENSMUSG00000000673,0,2,1,1,0,1,1,2,0,0,1,0
ENSMUSG00000000682,5,9,14,8,12,3,11,11,9,5,9,10
ENSMUSG00000000686,10,10,15,7,9,9,22,8,20,8,15,15
ENSMUSG00000000690,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000693,34,33,31,29,48,27,37,31,28,28,32,48
ENSMUSG00000000701,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,0,0,0,0,3,1,0,2,0,0,7,1
ENSMUSG00000000708,222,282,401,327,408,268,400,286,320,347,401,476
ENSMUSG00000000711,2000,1555,1712,1508,1760,1837,1351,1235,1437,1490,1763,2117
ENSMUSG00000000724,1,0,1,0,0,0,1,0,0,0,0,0
ENSMUSG00000000730,1,3,2,0,1,1,0,1,0,0,0,1
ENSMUSG00000000731,6,0,1,1,0,4,0,0,1,1,9,4
ENSMUSG00000000732,67,49,96,77,60,58,60,31,33,76,60,85
ENSMUSG00000000738,327,307,242,288,309,238,226,224,240,246,353,284
ENSMUSG00000000739,2,4,5,0,1,0,4,0,3,0,6,1
ENSMUSG00000000740,3680,3493,4922,4162,4336,3533,3886,4314,3721,3744,5275,3672
ENSMUSG00000000743,496,375,415,364,357,423,302,288,232,293,406,409
ENSMUSG00000000751,529,408,491,371,423,393,371,301,407,366,407,578
ENSMUSG00000000753,85,95,144,81,98,95,65,102,78,135,100,187
ENSMUSG00000000759,468,388,451,336,435,412,282,294,346,363,477,470
ENSMUSG00000000766,130,114,130,37,143,76,72,151,331,102,85,166
ENSMUSG00000000776,158,167,198,136,204,202,157,126,146,148,199,216
ENSMUSG00000000782,31,37,48,38,45,41,35,78,35,17,51,64
ENSMUSG00000000787,5191,4342,4447,3634,4609,5136,2996,2995,3652,3514,4675,5963
ENSMUSG00000000791,2,4,3,4,3,3,3,10,5,4,7,5
ENSMUSG00000000792,417,234,301,185,289,351,160,184,233,200,341,415
ENSMUSG00000000794,749,486,678,342,602,593,657,632,803,587,419,712
ENSMUSG00000000804,3173,2785,2709,2680,2824,3150,2102,1855,2126,2236,3567,3277
ENSMUSG00000000805,280,304,285,317,341,307,365,134,168,360,370,240
ENSMUSG00000000811,46,35,77,33,51,41,49,34,59,35,50,42
ENSMUSG00000000817,1,1,0,0,1,0,0,1,0,0,0,0
ENSMUSG00000000823,620,405,385,381,385,546,303,248,254,357,434,494
ENSMUSG00000000826,4152,3500,2967,3006,3213,4029,2409,2214,2480,2483,3431,4293
ENSMUSG00000000827,371,354,483,389,460,342,342,321,335,374,478,456
ENSMUSG00000000838,1140,895,949,956,1103,1219,779,563,640,793,1227,1219
ENSMUSG00000000861,1602,1159,727,1266,1199,2024,606,633,178,774,1686,1610
ENSMUSG00000000869,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000876,195,125,143,144,154,137,114,115,128,107,139,171
ENSMUSG00000000881,2902,2111,1499,1619,1646,2493,1148,1001,757,1191,1696,2241
ENSMUSG00000000884,25,27,37,26,33,26,16,24,29,24,12,37
ENSMUSG00000000889,5,2,11,3,2,5,6,3,2,1,1,1
ENSMUSG00000000901,26,20,21,21,8,12,15,19,20,18,33,28
ENSMUSG00000000902,466,410,397,311,421,405,314,303,280,348,382,518
ENSMUSG00000000903,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000915,830,700,799,754,842,836,661,637,635,705,1036,861
ENSMUSG00000000916,55,35,73,51,68,43,51,54,44,57,94,46
ENSMUSG00000000934,303,205,246,165,204,220,153,181,166,186,209,236
ENSMUSG00000000938,0,0,0,0,0,0,2,0,0,0,1,0
ENSMUSG00000000942,0,0,18,0,0,0,0,0,6,0,0,6
ENSMUSG00000000948,881,766,1096,765,1120,1004,786,782,1022,880,1294,1079
ENSMUSG00000000957,138,87,234,113,140,141,132,74,252,129,141,171
ENSMUSG00000000958,14,12,27,11,12,12,13,23,15,7,5,11
ENSMUSG00000000959,451,415,437,339,396,411,350,283,379,356,500,566
ENSMUSG00000000976,167,148,175,135,175,140,158,142,149,117,183,211
ENSMUSG00000000982,1,1,5,1,0,2,3,0,0,3,1,0
ENSMUSG00000000983,7,13,10,8,8,1,5,8,5,11,7,3
ENSMUSG00000001014,0,2,6,3,6,5,1,3,4,5,4,8
ENSMUSG00000001016,581,465,498,435,534,552,378,422,405,460,619,560
ENSMUSG00000001017,1038,836,970,849,1015,933,781,770,708,794,1101,1265
ENSMUSG00000001018,372,328,463,382,427,374,357,332,405,361,476,454
ENSMUSG00000001020,2,9,17,5,8,9,13,16,4,20,15,1
ENSMUSG00000001021,5,0,0,2,8,0,1,4,2,0,1,0
ENSMUSG00000001023,0,0,1,0,0,0,2,0,0,0,0,0
ENSMUSG00000001025,78,75,120,73,68,81,65,81,96,66,96,60
ENSMUSG00000001027,0,0,0,1,0,0,3,0,0,0,6,0
ENSMUSG00000001029,12,18,38,28,31,22,17,17,22,20,28,32
ENSMUSG00000001034,196,141,175,147,132,188,71,82,93,113,150,153
